"TimePeriod","Tenant","ProratedQuantity"
"2023-04-22T00:00:00Z","MS-BL2PrdStr07A","6943848.8596825441"
"2023-04-23T00:00:00Z","MS-BL2PrdStr07A","6704166.8292625537"
"2023-04-24T00:00:00Z","MS-BL2PrdStr07A","6999228.120515787"
"2023-04-25T00:00:00Z","MS-BL2PrdStr07A","7257313.0690070763"
"2023-04-26T00:00:00Z","MS-BL2PrdStr07A","7275378.3005886041"
"2023-04-27T00:00:00Z","MS-BL2PrdStr07A","7363979.9816772379"
"2023-04-28T00:00:00Z","MS-BL2PrdStr07A","7500593.4512918312"
"2023-04-29T00:00:00Z","MS-BL2PrdStr07A","7616613.0480130995"
"2023-04-30T00:00:00Z","MS-BL2PrdStr07A","7273489.0121687688"
"2023-05-01T00:00:00Z","MS-BL2PrdStr07A","7133290.3137598271"
"2023-05-02T00:00:00Z","MS-BL2PrdStr07A","7393340.7884857533"
"2023-05-03T00:00:00Z","MS-BL2PrdStr07A","7338110.8727291934"
"2023-05-04T00:00:00Z","MS-BL2PrdStr07A","6201395.0105970008"
"2023-05-05T00:00:00Z","MS-BL2PrdStr07A","7392541.72867264"
"2023-05-06T00:00:00Z","MS-BL2PrdStr07A","7179766.6272055507"
"2023-05-07T00:00:00Z","MS-BL2PrdStr07A","7039499.46171129"
"2023-05-08T00:00:00Z","MS-BL2PrdStr07A","7496204.0459467592"
"2023-05-09T00:00:00Z","MS-BL2PrdStr07A","7658072.4351471113"
"2023-05-10T00:00:00Z","MS-BL2PrdStr07A","7804593.0464587845"
"2023-05-11T00:00:00Z","MS-BL2PrdStr07A","7952569.13399808"
"2023-05-12T00:00:00Z","MS-BL2PrdStr07A","7975505.5150463553"
"2023-05-13T00:00:00Z","MS-BL2PrdStr07A","8153490.1595131969"
"2023-05-14T00:00:00Z","MS-BL2PrdStr07A","7066000.3784944462"
"2023-05-15T00:00:00Z","MS-BL2PrdStr07A","7454493.9499266772"
"2023-05-16T00:00:00Z","MS-BL2PrdStr07A","7942567.8653009171"
"2023-05-17T00:00:00Z","MS-BL2PrdStr07A","7805611.262775206"
"2023-05-18T00:00:00Z","MS-BL2PrdStr07A","7814314.333284352"
"2023-05-19T00:00:00Z","MS-BL2PrdStr07A","7648010.4732825644"
"2023-05-20T00:00:00Z","MS-BL2PrdStr07A","7414480.59996529"
"2023-05-21T00:00:00Z","MS-BL2PrdStr07A","6914281.11277539"
"2023-05-22T00:00:00Z","MS-BL2PrdStr07A","7084950.7860354865"
"2023-05-23T00:00:00Z","MS-BL2PrdStr07A","7156188.9012937853"
"2023-05-24T00:00:00Z","MS-BL2PrdStr07A","7154125.3980184272"
"2023-05-25T00:00:00Z","MS-BL2PrdStr07A","7436461.3986426666"
"2023-05-26T00:00:00Z","MS-BL2PrdStr07A","7535014.6437043231"
"2023-05-27T00:00:00Z","MS-BL2PrdStr07A","7723384.2904102169"
"2023-05-28T00:00:00Z","MS-BL2PrdStr07A","7283653.0236531384"
"2023-05-29T00:00:00Z","MS-BL2PrdStr07A","7172328.2559509538"
"2023-05-30T00:00:00Z","MS-BL2PrdStr07A","7434774.0089211334"
"2023-05-31T00:00:00Z","MS-BL2PrdStr07A","7689037.9857909419"
"2023-06-01T00:00:00Z","MS-BL2PrdStr07A","8013156.1668770108"
"2023-06-02T00:00:00Z","MS-BL2PrdStr07A","8075067.4905577125"
"2023-06-03T00:00:00Z","MS-BL2PrdStr07A","7827425.5979813784"
"2023-06-04T00:00:00Z","MS-BL2PrdStr07A","7580850.0640738858"
"2023-06-05T00:00:00Z","MS-BL2PrdStr07A","7639767.8495762991"
"2023-06-06T00:00:00Z","MS-BL2PrdStr07A","7909237.0051046489"
"2023-06-07T00:00:00Z","MS-BL2PrdStr07A","7733526.5983413709"
"2023-06-08T00:00:00Z","MS-BL2PrdStr07A","7785059.4992022756"
"2023-06-09T00:00:00Z","MS-BL2PrdStr07A","7562516.1568017136"
