"TimePeriod","Tenant","ProratedQuantity"
"2023-04-22T00:00:00Z","MS-DSZ04PrdStr04A","3500089.1970559512"
"2023-04-23T00:00:00Z","MS-DSZ04PrdStr04A","3538176.0987093979"
"2023-04-24T00:00:00Z","MS-DSZ04PrdStr04A","3636995.1498718439"
"2023-04-25T00:00:00Z","MS-DSZ04PrdStr04A","3802377.0751264654"
"2023-04-26T00:00:00Z","MS-DSZ04PrdStr04A","3852627.1886325851"
"2023-04-27T00:00:00Z","MS-DSZ04PrdStr04A","3762767.675197646"
"2023-04-28T00:00:00Z","MS-DSZ04PrdStr04A","3812696.0723022246"
"2023-04-29T00:00:00Z","MS-DSZ04PrdStr04A","3587602.2164938306"
"2023-04-30T00:00:00Z","MS-DSZ04PrdStr04A","3371410.8980671349"
"2023-05-01T00:00:00Z","MS-DSZ04PrdStr04A","3413982.6453051679"
"2023-05-02T00:00:00Z","MS-DSZ04PrdStr04A","3737931.8505483903"
"2023-05-03T00:00:00Z","MS-DSZ04PrdStr04A","3709303.6389938826"
"2023-05-04T00:00:00Z","MS-DSZ04PrdStr04A","3202696.9238352603"
"2023-05-05T00:00:00Z","MS-DSZ04PrdStr04A","3835545.25739688"
"2023-05-06T00:00:00Z","MS-DSZ04PrdStr04A","3575635.070159107"
"2023-05-07T00:00:00Z","MS-DSZ04PrdStr04A","3340646.9852040703"
"2023-05-08T00:00:00Z","MS-DSZ04PrdStr04A","3558951.4792590281"
"2023-05-09T00:00:00Z","MS-DSZ04PrdStr04A","3801366.1142545012"
"2023-05-10T00:00:00Z","MS-DSZ04PrdStr04A","3916947.8743977984"
"2023-05-11T00:00:00Z","MS-DSZ04PrdStr04A","3746380.1882513585"
"2023-05-12T00:00:00Z","MS-DSZ04PrdStr04A","3874217.4325352213"
"2023-05-13T00:00:00Z","MS-DSZ04PrdStr04A","3546369.0089181811"
"2023-05-14T00:00:00Z","MS-DSZ04PrdStr04A","3343173.4418010274"
"2023-05-15T00:00:00Z","MS-DSZ04PrdStr04A","3604685.2920980165"
"2023-05-16T00:00:00Z","MS-DSZ04PrdStr04A","3858483.5553070372"
"2023-05-17T00:00:00Z","MS-DSZ04PrdStr04A","3646721.7942084279"
"2023-05-18T00:00:00Z","MS-DSZ04PrdStr04A","3683976.9747785726"
"2023-05-19T00:00:00Z","MS-DSZ04PrdStr04A","3604649.4932440319"
"2023-05-20T00:00:00Z","MS-DSZ04PrdStr04A","3376607.7628062177"
"2023-05-21T00:00:00Z","MS-DSZ04PrdStr04A","3348783.8421754204"
"2023-05-22T00:00:00Z","MS-DSZ04PrdStr04A","3620698.8759715278"
"2023-05-23T00:00:00Z","MS-DSZ04PrdStr04A","3763534.2868932448"
"2023-05-24T00:00:00Z","MS-DSZ04PrdStr04A","3816478.36555755"
"2023-05-25T00:00:00Z","MS-DSZ04PrdStr04A","3819661.2084612441"
"2023-05-26T00:00:00Z","MS-DSZ04PrdStr04A","3811903.5914132167"
"2023-05-27T00:00:00Z","MS-DSZ04PrdStr04A","3634857.9293153537"
"2023-05-28T00:00:00Z","MS-DSZ04PrdStr04A","3458527.9007978393"
"2023-05-29T00:00:00Z","MS-DSZ04PrdStr04A","3568772.3266641824"
"2023-05-30T00:00:00Z","MS-DSZ04PrdStr04A","3894956.0245179837"
"2023-05-31T00:00:00Z","MS-DSZ04PrdStr04A","3848095.7311672359"
"2023-06-01T00:00:00Z","MS-DSZ04PrdStr04A","4072691.2789523136"
"2023-06-02T00:00:00Z","MS-DSZ04PrdStr04A","3985303.6052076682"
"2023-06-03T00:00:00Z","MS-DSZ04PrdStr04A","3763398.21984033"
