"TimePeriod","Tenant","ProratedQuantity"
"2023-04-22T00:00:00Z","MS-GVX01PrdStf01A","16764.873928060781"
"2023-04-23T00:00:00Z","MS-GVX01PrdStf01A","18208.201275454874"
"2023-04-24T00:00:00Z","MS-GVX01PrdStf01A","65616.8359098911"
"2023-04-25T00:00:00Z","MS-GVX01PrdStf01A","63773.876328344937"
"2023-04-26T00:00:00Z","MS-GVX01PrdStf01A","64485.265253944308"
"2023-04-27T00:00:00Z","MS-GVX01PrdStf01A","64284.256278680543"
"2023-04-28T00:00:00Z","MS-GVX01PrdStf01A","56032.049030661277"
"2023-04-29T00:00:00Z","MS-GVX01PrdStf01A","17197.262231570694"
"2023-04-30T00:00:00Z","MS-GVX01PrdStf01A","17185.091108971625"
"2023-05-01T00:00:00Z","MS-GVX01PrdStf01A","24199.624909771079"
"2023-05-02T00:00:00Z","MS-GVX01PrdStf01A","73109.998164241246"
"2023-05-03T00:00:00Z","MS-GVX01PrdStf01A","68221.401184742368"
"2023-05-04T00:00:00Z","MS-GVX01PrdStf01A","64705.196646091266"
"2023-05-05T00:00:00Z","MS-GVX01PrdStf01A","55129.230984630907"
"2023-05-06T00:00:00Z","MS-GVX01PrdStf01A","17352.986514440912"
"2023-05-07T00:00:00Z","MS-GVX01PrdStf01A","18063.973920414031"
"2023-05-08T00:00:00Z","MS-GVX01PrdStf01A","59208.430512129205"
"2023-05-09T00:00:00Z","MS-GVX01PrdStf01A","71762.8995671788"
"2023-05-10T00:00:00Z","MS-GVX01PrdStf01A","67282.283630272577"
"2023-05-11T00:00:00Z","MS-GVX01PrdStf01A","65948.395610080421"
"2023-05-12T00:00:00Z","MS-GVX01PrdStf01A","56845.461414258949"
"2023-05-13T00:00:00Z","MS-GVX01PrdStf01A","17970.871649354227"
"2023-05-14T00:00:00Z","MS-GVX01PrdStf01A","19507.448023210258"
"2023-05-15T00:00:00Z","MS-GVX01PrdStf01A","77884.44250347816"
"2023-05-16T00:00:00Z","MS-GVX01PrdStf01A","70530.488334061243"
"2023-05-17T00:00:00Z","MS-GVX01PrdStf01A","64325.611709570025"
"2023-05-18T00:00:00Z","MS-GVX01PrdStf01A","44438.650595558945"
"2023-05-19T00:00:00Z","MS-GVX01PrdStf01A","45190.201475708745"
"2023-05-20T00:00:00Z","MS-GVX01PrdStf01A","20258.412976672331"
"2023-05-21T00:00:00Z","MS-GVX01PrdStf01A","19654.219355474441"
"2023-05-22T00:00:00Z","MS-GVX01PrdStf01A","72078.357041787167"
"2023-05-23T00:00:00Z","MS-GVX01PrdStf01A","67470.860190111445"
"2023-05-24T00:00:00Z","MS-GVX01PrdStf01A","64065.964104919854"
"2023-05-25T00:00:00Z","MS-GVX01PrdStf01A","65054.1251806511"
"2023-05-26T00:00:00Z","MS-GVX01PrdStf01A","53458.53145238071"
"2023-05-27T00:00:00Z","MS-GVX01PrdStf01A","17398.342266415086"
"2023-05-28T00:00:00Z","MS-GVX01PrdStf01A","17660.922720236944"
"2023-05-29T00:00:00Z","MS-GVX01PrdStf01A","34770.5522334337"
"2023-05-30T00:00:00Z","MS-GVX01PrdStf01A","66697.9284956067"
"2023-05-31T00:00:00Z","MS-GVX01PrdStf01A","61489.168298657918"
"2023-06-01T00:00:00Z","MS-GVX01PrdStf01A","60283.794205533042"
"2023-06-02T00:00:00Z","MS-GVX01PrdStf01A","51501.3429929551"
"2023-06-03T00:00:00Z","MS-GVX01PrdStf01A","18277.131863682087"
"2023-06-04T00:00:00Z","MS-GVX01PrdStf01A","19471.279871777006"
"2023-06-05T00:00:00Z","MS-GVX01PrdStf01A","67311.574808801583"
"2023-06-06T00:00:00Z","MS-GVX01PrdStf01A","66391.378368380931"
"2023-06-07T00:00:00Z","MS-GVX01PrdStf01A","64170.629146785555"
"2023-06-08T00:00:00Z","MS-GVX01PrdStf01A","56134.985719120188"
"2023-06-09T00:00:00Z","MS-GVX01PrdStf01A","51838.585980667427"
"2023-06-10T00:00:00Z","MS-GVX01PrdStf01A","21106.435430858182"
"2023-06-11T00:00:00Z","MS-GVX01PrdStf01A","22761.267899253271"
"2023-06-12T00:00:00Z","MS-GVX01PrdStf01A","73161.928087584252"
"2023-06-13T00:00:00Z","MS-GVX01PrdStf01A","72087.589290006668"
"2023-06-14T00:00:00Z","MS-GVX01PrdStf01A","71449.268199178623"
"2023-06-15T00:00:00Z","MS-GVX01PrdStf01A","72496.287856407129"
"2023-06-16T00:00:00Z","MS-GVX01PrdStf01A","63787.589817068641"
"2023-06-17T00:00:00Z","MS-GVX01PrdStf01A","25885.863443823568"
"2023-06-18T00:00:00Z","MS-GVX01PrdStf01A","21053.045501561217"
"2023-06-19T00:00:00Z","MS-GVX01PrdStf01A","70146.85206696282"
"2023-06-20T00:00:00Z","MS-GVX01PrdStf01A","70765.7373001255"
"2023-06-21T00:00:00Z","MS-GVX01PrdStf01A","65874.878206838257"
"2023-06-22T00:00:00Z","MS-GVX01PrdStf01A","67200.205152845432"
"2023-06-23T00:00:00Z","MS-GVX01PrdStf01A","53848.502247625795"
"2023-06-24T00:00:00Z","MS-GVX01PrdStf01A","23275.800567532791"
"2023-06-25T00:00:00Z","MS-GVX01PrdStf01A","24465.615139317568"
"2023-06-26T00:00:00Z","MS-GVX01PrdStf01A","71217.402832235151"
"2023-06-27T00:00:00Z","MS-GVX01PrdStf01A","69686.1294116336"
"2023-06-28T00:00:00Z","MS-GVX01PrdStf01A","65364.498429337429"
"2023-06-29T00:00:00Z","MS-GVX01PrdStf01A","67239.034891521951"
"2023-06-30T00:00:00Z","MS-GVX01PrdStf01A","56526.478412439021"
"2023-07-01T00:00:00Z","MS-GVX01PrdStf01A","22680.681713202706"
"2023-07-02T00:00:00Z","MS-GVX01PrdStf01A","23245.547033970346"
"2023-07-03T00:00:00Z","MS-GVX01PrdStf01A","69107.730278959556"
"2023-07-04T00:00:00Z","MS-GVX01PrdStf01A","65017.47112649012"
"2023-07-05T00:00:00Z","MS-GVX01PrdStf01A","63186.926974763337"
"2023-07-06T00:00:00Z","MS-GVX01PrdStf01A","64375.548783868631"
"2023-07-07T00:00:00Z","MS-GVX01PrdStf01A","54566.040412084287"
"2023-07-08T00:00:00Z","MS-GVX01PrdStf01A","22395.601199107845"
"2023-07-09T00:00:00Z","MS-GVX01PrdStf01A","23076.130533136737"
"2023-07-10T00:00:00Z","MS-GVX01PrdStf01A","68231.988667428668"
"2023-07-11T00:00:00Z","MS-GVX01PrdStf01A","64042.423380972476"
"2023-07-12T00:00:00Z","MS-GVX01PrdStf01A","62582.764886349629"
"2023-07-13T00:00:00Z","MS-GVX01PrdStf01A","64046.802297546608"
"2023-07-14T00:00:00Z","MS-GVX01PrdStf01A","53024.689272357042"
"2023-07-15T00:00:00Z","MS-GVX01PrdStf01A","21987.156448309244"
"2023-07-16T00:00:00Z","MS-GVX01PrdStf01A","22534.1632679995"
"2023-07-17T00:00:00Z","MS-GVX01PrdStf01A","64691.352170167935"
"2023-07-18T00:00:00Z","MS-GVX01PrdStf01A","56804.095570858255"
"2023-07-19T00:00:00Z","MS-GVX01PrdStf01A","52156.21764902641"
"2023-07-20T00:00:00Z","MS-GVX01PrdStf01A","57325.790332491088"
"2023-07-21T00:00:00Z","MS-GVX01PrdStf01A","45974.1710821147"
"2023-07-22T00:00:00Z","MS-GVX01PrdStf01A","18702.100638513195"
"2023-07-23T00:00:00Z","MS-GVX01PrdStf01A","19246.513742603878"
"2023-07-24T00:00:00Z","MS-GVX01PrdStf01A","56887.115799945612"
"2023-07-25T00:00:00Z","MS-GVX01PrdStf01A","52903.038013920908"
"2023-07-26T00:00:00Z","MS-GVX01PrdStf01A","52045.2386791387"
"2023-07-27T00:00:00Z","MS-GVX01PrdStf01A","54181.118664388858"
"2023-07-28T00:00:00Z","MS-GVX01PrdStf01A","44356.4966746211"
"2023-07-29T00:00:00Z","MS-GVX01PrdStf01A","18939.125622840322"
"2023-07-30T00:00:00Z","MS-GVX01PrdStf01A","19369.48780124537"
"2023-07-31T00:00:00Z","MS-GVX01PrdStf01A","56445.979177871057"
"2023-08-01T00:00:00Z","MS-GVX01PrdStf01A","52348.080633221383"
"2023-08-02T00:00:00Z","MS-GVX01PrdStf01A","50646.853659351938"
"2023-08-03T00:00:00Z","MS-GVX01PrdStf01A","51760.147758812927"
"2023-08-04T00:00:00Z","MS-GVX01PrdStf01A","44371.56104554591"
"2023-08-05T00:00:00Z","MS-GVX01PrdStf01A","22617.659919837017"
"2023-08-06T00:00:00Z","MS-GVX01PrdStf01A","22290.188502569647"
"2023-08-07T00:00:00Z","MS-GVX01PrdStf01A","56317.5815101034"
"2023-08-08T00:00:00Z","MS-GVX01PrdStf01A","52692.745047777746"
