"TimePeriod","Tenant","ProratedQuantity"
"2023-04-22T00:00:00Z","MS-GVX01PrdStr03A","841441.2285895138"
"2023-04-23T00:00:00Z","MS-GVX01PrdStr03A","806824.74510908069"
"2023-04-24T00:00:00Z","MS-GVX01PrdStr03A","856720.828063001"
"2023-04-25T00:00:00Z","MS-GVX01PrdStr03A","874213.20618295693"
"2023-04-26T00:00:00Z","MS-GVX01PrdStr03A","868362.44902265479"
"2023-04-27T00:00:00Z","MS-GVX01PrdStr03A","851211.02814031485"
"2023-04-28T00:00:00Z","MS-GVX01PrdStr03A","850769.26771937893"
"2023-04-29T00:00:00Z","MS-GVX01PrdStr03A","795405.886555374"
"2023-04-30T00:00:00Z","MS-GVX01PrdStr03A","803000.10451780155"
"2023-05-01T00:00:00Z","MS-GVX01PrdStr03A","822556.12998219044"
"2023-05-02T00:00:00Z","MS-GVX01PrdStr03A","871641.268305804"
"2023-05-03T00:00:00Z","MS-GVX01PrdStr03A","878826.55632517464"
"2023-05-04T00:00:00Z","MS-GVX01PrdStr03A","737119.9691658708"
"2023-05-05T00:00:00Z","MS-GVX01PrdStr03A","885133.54901699023"
"2023-05-06T00:00:00Z","MS-GVX01PrdStr03A","896097.74536338449"
"2023-05-07T00:00:00Z","MS-GVX01PrdStr03A","813061.35069575382"
"2023-05-08T00:00:00Z","MS-GVX01PrdStr03A","862034.24684487353"
"2023-05-09T00:00:00Z","MS-GVX01PrdStr03A","888726.19704710774"
"2023-05-10T00:00:00Z","MS-GVX01PrdStr03A","895504.21863011154"
"2023-05-11T00:00:00Z","MS-GVX01PrdStr03A","885984.124722037"
"2023-05-12T00:00:00Z","MS-GVX01PrdStr03A","868718.08148920466"
"2023-05-13T00:00:00Z","MS-GVX01PrdStr03A","821827.61774832441"
"2023-05-14T00:00:00Z","MS-GVX01PrdStr03A","808424.6024394983"
"2023-05-15T00:00:00Z","MS-GVX01PrdStr03A","914353.79906068067"
"2023-05-16T00:00:00Z","MS-GVX01PrdStr03A","948878.15247267811"
"2023-05-17T00:00:00Z","MS-GVX01PrdStr03A","933867.4394045457"
"2023-05-18T00:00:00Z","MS-GVX01PrdStr03A","919577.13532393612"
"2023-05-19T00:00:00Z","MS-GVX01PrdStr03A","941132.53864706866"
"2023-05-20T00:00:00Z","MS-GVX01PrdStr03A","928920.7901728549"
"2023-05-21T00:00:00Z","MS-GVX01PrdStr03A","919305.301583466"
"2023-05-22T00:00:00Z","MS-GVX01PrdStr03A","970705.56811702263"
"2023-05-23T00:00:00Z","MS-GVX01PrdStr03A","988719.21324574784"
"2023-05-24T00:00:00Z","MS-GVX01PrdStr03A","1030391.7413705469"
"2023-05-25T00:00:00Z","MS-GVX01PrdStr03A","1058641.2985633886"
"2023-05-26T00:00:00Z","MS-GVX01PrdStr03A","1053541.3501629573"
"2023-05-27T00:00:00Z","MS-GVX01PrdStr03A","1035440.1633944465"
"2023-05-28T00:00:00Z","MS-GVX01PrdStr03A","1009368.3174291932"
"2023-05-29T00:00:00Z","MS-GVX01PrdStr03A","1065089.4419151845"
"2023-05-30T00:00:00Z","MS-GVX01PrdStr03A","1113250.3213931106"
"2023-05-31T00:00:00Z","MS-GVX01PrdStr03A","1179225.2120401284"
"2023-06-01T00:00:00Z","MS-GVX01PrdStr03A","1202245.2920721814"
"2023-06-02T00:00:00Z","MS-GVX01PrdStr03A","1181844.6485626318"
"2023-06-03T00:00:00Z","MS-GVX01PrdStr03A","1072260.4518114154"
"2023-06-04T00:00:00Z","MS-GVX01PrdStr03A","1075551.7142853192"
"2023-06-05T00:00:00Z","MS-GVX01PrdStr03A","1180014.822622891"
"2023-06-06T00:00:00Z","MS-GVX01PrdStr03A","1208219.829352001"
"2023-06-07T00:00:00Z","MS-GVX01PrdStr03A","1199319.4713453525"
"2023-06-08T00:00:00Z","MS-GVX01PrdStr03A","1203865.8501248893"
"2023-06-09T00:00:00Z","MS-GVX01PrdStr03A","1181821.2679840832"
"2023-06-10T00:00:00Z","MS-GVX01PrdStr03A","1088715.4314181164"
"2023-06-11T00:00:00Z","MS-GVX01PrdStr03A","1077011.0263397864"
"2023-06-12T00:00:00Z","MS-GVX01PrdStr03A","1188517.8165439642"
"2023-06-13T00:00:00Z","MS-GVX01PrdStr03A","1212273.9860556233"
"2023-06-14T00:00:00Z","MS-GVX01PrdStr03A","1220931.9672496999"
"2023-06-15T00:00:00Z","MS-GVX01PrdStr03A","1351900.9292074391"
"2023-06-16T00:00:00Z","MS-GVX01PrdStr03A","1292069.9324486228"
"2023-06-17T00:00:00Z","MS-GVX01PrdStr03A","1176639.3978424671"
"2023-06-18T00:00:00Z","MS-GVX01PrdStr03A","1167186.745680352"
"2023-06-19T00:00:00Z","MS-GVX01PrdStr03A","1307942.81602834"
"2023-06-20T00:00:00Z","MS-GVX01PrdStr03A","1324697.7606990552"
"2023-06-21T00:00:00Z","MS-GVX01PrdStr03A","1358335.2022035255"
"2023-06-22T00:00:00Z","MS-GVX01PrdStr03A","1341787.2987937173"
"2023-06-23T00:00:00Z","MS-GVX01PrdStr03A","1299066.4126888071"
"2023-06-24T00:00:00Z","MS-GVX01PrdStr03A","1216940.872575501"
"2023-06-25T00:00:00Z","MS-GVX01PrdStr03A","1209327.1544544385"
"2023-06-26T00:00:00Z","MS-GVX01PrdStr03A","1329043.8143737642"
"2023-06-27T00:00:00Z","MS-GVX01PrdStr03A","1356651.7171323688"
"2023-06-28T00:00:00Z","MS-GVX01PrdStr03A","1397314.5134089093"
"2023-06-29T00:00:00Z","MS-GVX01PrdStr03A","1362985.7446849188"
"2023-06-30T00:00:00Z","MS-GVX01PrdStr03A","1349359.7947301543"
"2023-07-01T00:00:00Z","MS-GVX01PrdStr03A","1244089.7017818324"
"2023-07-02T00:00:00Z","MS-GVX01PrdStr03A","1243522.5969631036"
"2023-07-03T00:00:00Z","MS-GVX01PrdStr03A","1356628.1512097467"
"2023-07-04T00:00:00Z","MS-GVX01PrdStr03A","1338554.0286197155"
"2023-07-05T00:00:00Z","MS-GVX01PrdStr03A","1357197.8484743196"
"2023-07-06T00:00:00Z","MS-GVX01PrdStr03A","1380470.5599070857"
"2023-07-07T00:00:00Z","MS-GVX01PrdStr03A","1355655.6451430235"
"2023-07-08T00:00:00Z","MS-GVX01PrdStr03A","1208123.8336078215"
"2023-07-09T00:00:00Z","MS-GVX01PrdStr03A","1253047.7193801876"
"2023-07-10T00:00:00Z","MS-GVX01PrdStr03A","1359670.2218616942"
"2023-07-11T00:00:00Z","MS-GVX01PrdStr03A","1389989.9909891705"
"2023-07-12T00:00:00Z","MS-GVX01PrdStr03A","1410567.6900081909"
"2023-07-13T00:00:00Z","MS-GVX01PrdStr03A","1412833.7856227895"
"2023-07-14T00:00:00Z","MS-GVX01PrdStr03A","1372144.5075822691"
"2023-07-15T00:00:00Z","MS-GVX01PrdStr03A","1281753.4481747919"
"2023-07-16T00:00:00Z","MS-GVX01PrdStr03A","1289262.8802318918"
"2023-07-17T00:00:00Z","MS-GVX01PrdStr03A","1383192.9020122304"
"2023-07-18T00:00:00Z","MS-GVX01PrdStr03A","1359524.1282950114"
"2023-07-19T00:00:00Z","MS-GVX01PrdStr03A","1400911.9734163254"
"2023-07-20T00:00:00Z","MS-GVX01PrdStr03A","1399428.3480047542"
"2023-07-21T00:00:00Z","MS-GVX01PrdStr03A","1335245.6301740357"
"2023-07-22T00:00:00Z","MS-GVX01PrdStr03A","1304515.6269450348"
"2023-07-23T00:00:00Z","MS-GVX01PrdStr03A","1349468.7479105352"
"2023-07-24T00:00:00Z","MS-GVX01PrdStr03A","1384941.6937028242"
"2023-07-25T00:00:00Z","MS-GVX01PrdStr03A","1402752.2702520024"
"2023-07-26T00:00:00Z","MS-GVX01PrdStr03A","1403528.964812625"
"2023-07-27T00:00:00Z","MS-GVX01PrdStr03A","1388648.4786788216"
"2023-07-28T00:00:00Z","MS-GVX01PrdStr03A","1308755.6957227152"
"2023-07-29T00:00:00Z","MS-GVX01PrdStr03A","1281329.5202117471"
