"TimePeriod","Tenant","ProratedQuantity"
"2023-04-22T00:00:00Z","MS-MWH20PrdStr02E","7889426.9140333515"
"2023-04-23T00:00:00Z","MS-MWH20PrdStr02E","8235019.801548779"
"2023-04-24T00:00:00Z","MS-MWH20PrdStr02E","8583320.9762494285"
"2023-04-25T00:00:00Z","MS-MWH20PrdStr02E","8392031.3353429176"
"2023-04-26T00:00:00Z","MS-MWH20PrdStr02E","8249822.1091522351"
"2023-04-27T00:00:00Z","MS-MWH20PrdStr02E","8549615.155925164"
"2023-04-28T00:00:00Z","MS-MWH20PrdStr02E","8935886.5716281328"
"2023-04-29T00:00:00Z","MS-MWH20PrdStr02E","7919060.2862116266"
"2023-04-30T00:00:00Z","MS-MWH20PrdStr02E","7695294.8507848661"
"2023-05-01T00:00:00Z","MS-MWH20PrdStr02E","7806998.2492904551"
"2023-05-02T00:00:00Z","MS-MWH20PrdStr02E","8171241.3545490485"
"2023-05-03T00:00:00Z","MS-MWH20PrdStr02E","8438749.7331247274"
"2023-05-04T00:00:00Z","MS-MWH20PrdStr02E","6964943.0915044369"
"2023-05-05T00:00:00Z","MS-MWH20PrdStr02E","8761318.5218013525"
"2023-05-06T00:00:00Z","MS-MWH20PrdStr02E","8318868.3828160511"
"2023-05-07T00:00:00Z","MS-MWH20PrdStr02E","7620025.6703306586"
"2023-05-08T00:00:00Z","MS-MWH20PrdStr02E","7760647.9303861763"
"2023-05-09T00:00:00Z","MS-MWH20PrdStr02E","8566788.221877886"
"2023-05-10T00:00:00Z","MS-MWH20PrdStr02E","8472914.9806294478"
"2023-05-11T00:00:00Z","MS-MWH20PrdStr02E","8621055.4149284735"
"2023-05-12T00:00:00Z","MS-MWH20PrdStr02E","8577164.62377284"
"2023-05-13T00:00:00Z","MS-MWH20PrdStr02E","8646737.8652202971"
"2023-05-14T00:00:00Z","MS-MWH20PrdStr02E","8444918.9005266577"
"2023-05-15T00:00:00Z","MS-MWH20PrdStr02E","8363603.9292071965"
"2023-05-16T00:00:00Z","MS-MWH20PrdStr02E","8754582.5972685013"
"2023-05-17T00:00:00Z","MS-MWH20PrdStr02E","8590685.0929111131"
"2023-05-18T00:00:00Z","MS-MWH20PrdStr02E","8044605.0585341034"
"2023-05-19T00:00:00Z","MS-MWH20PrdStr02E","8380607.3635575259"
"2023-05-20T00:00:00Z","MS-MWH20PrdStr02E","8291842.7372135865"
"2023-05-21T00:00:00Z","MS-MWH20PrdStr02E","7767648.9756219881"
"2023-05-22T00:00:00Z","MS-MWH20PrdStr02E","7703047.796615975"
"2023-05-23T00:00:00Z","MS-MWH20PrdStr02E","7968867.2728339089"
"2023-05-24T00:00:00Z","MS-MWH20PrdStr02E","8262175.3226926122"
"2023-05-25T00:00:00Z","MS-MWH20PrdStr02E","8429376.6035558358"
"2023-05-26T00:00:00Z","MS-MWH20PrdStr02E","8261720.5154007431"
"2023-05-27T00:00:00Z","MS-MWH20PrdStr02E","8316296.0849301666"
"2023-05-28T00:00:00Z","MS-MWH20PrdStr02E","8059405.05308566"
"2023-05-29T00:00:00Z","MS-MWH20PrdStr02E","8424505.9303292036"
"2023-05-30T00:00:00Z","MS-MWH20PrdStr02E","8802132.3964083958"
"2023-05-31T00:00:00Z","MS-MWH20PrdStr02E","8980625.9033803772"
"2023-06-01T00:00:00Z","MS-MWH20PrdStr02E","9109474.8797528613"
"2023-06-02T00:00:00Z","MS-MWH20PrdStr02E","9555050.1996161137"
"2023-06-03T00:00:00Z","MS-MWH20PrdStr02E","8537504.1916285753"
"2023-06-04T00:00:00Z","MS-MWH20PrdStr02E","8414561.7816490475"
"2023-06-05T00:00:00Z","MS-MWH20PrdStr02E","8711531.3622964062"
"2023-06-06T00:00:00Z","MS-MWH20PrdStr02E","8574949.32352766"
"2023-06-07T00:00:00Z","MS-MWH20PrdStr02E","8763146.1155992821"
"2023-06-08T00:00:00Z","MS-MWH20PrdStr02E","8512343.5001171082"
"2023-06-09T00:00:00Z","MS-MWH20PrdStr02E","8212566.5551686659"
"2023-06-10T00:00:00Z","MS-MWH20PrdStr02E","7968187.6866767164"
"2023-06-11T00:00:00Z","MS-MWH20PrdStr02E","8048163.0662553879"
"2023-06-12T00:00:00Z","MS-MWH20PrdStr02E","8171788.278593529"
"2023-06-13T00:00:00Z","MS-MWH20PrdStr02E","8625455.2286194954"
"2023-06-14T00:00:00Z","MS-MWH20PrdStr02E","8907875.377793286"
"2023-06-15T00:00:00Z","MS-MWH20PrdStr02E","8610268.6114189345"
"2023-06-16T00:00:00Z","MS-MWH20PrdStr02E","8326491.2414138895"
"2023-06-17T00:00:00Z","MS-MWH20PrdStr02E","8223837.9006479848"
"2023-06-18T00:00:00Z","MS-MWH20PrdStr02E","7506847.5541866831"
"2023-06-19T00:00:00Z","MS-MWH20PrdStr02E","7800574.0315140942"
"2023-06-20T00:00:00Z","MS-MWH20PrdStr02E","8571721.3731459137"
"2023-06-21T00:00:00Z","MS-MWH20PrdStr02E","8780649.3615455944"
"2023-06-22T00:00:00Z","MS-MWH20PrdStr02E","8502058.9438759647"
"2023-06-23T00:00:00Z","MS-MWH20PrdStr02E","8274425.5175355012"
"2023-06-24T00:00:00Z","MS-MWH20PrdStr02E","7821709.8779874267"
"2023-06-25T00:00:00Z","MS-MWH20PrdStr02E","7747962.576722"
"2023-06-26T00:00:00Z","MS-MWH20PrdStr02E","8029576.35712217"
"2023-06-27T00:00:00Z","MS-MWH20PrdStr02E","8885957.4486600719"
"2023-06-28T00:00:00Z","MS-MWH20PrdStr02E","8749444.1240799259"
"2023-06-29T00:00:00Z","MS-MWH20PrdStr02E","9095803.26873582"
"2023-06-30T00:00:00Z","MS-MWH20PrdStr02E","9081429.2960853651"
"2023-07-01T00:00:00Z","MS-MWH20PrdStr02E","9044825.7238857951"
"2023-07-02T00:00:00Z","MS-MWH20PrdStr02E","8383990.9640380451"
"2023-07-03T00:00:00Z","MS-MWH20PrdStr02E","9052240.3869498465"
"2023-07-04T00:00:00Z","MS-MWH20PrdStr02E","9527101.6027332954"
"2023-07-05T00:00:00Z","MS-MWH20PrdStr02E","8831067.0434250757"
"2023-07-06T00:00:00Z","MS-MWH20PrdStr02E","8990801.0238671154"
"2023-07-07T00:00:00Z","MS-MWH20PrdStr02E","9157442.2471598461"
"2023-07-08T00:00:00Z","MS-MWH20PrdStr02E","8552674.9707364347"
"2023-07-09T00:00:00Z","MS-MWH20PrdStr02E","8435614.3079537284"
"2023-07-10T00:00:00Z","MS-MWH20PrdStr02E","8658228.4734564126"
"2023-07-11T00:00:00Z","MS-MWH20PrdStr02E","8649976.29458789"
"2023-07-12T00:00:00Z","MS-MWH20PrdStr02E","8848377.7482813485"
"2023-07-13T00:00:00Z","MS-MWH20PrdStr02E","9036386.7296014465"
"2023-07-14T00:00:00Z","MS-MWH20PrdStr02E","8785998.6776251439"
