"TimePeriod","Tenant","ProratedQuantity"
"2023-04-22T00:00:00Z","MS-YTO21PrdStr06A","6849563.9095324073"
"2023-04-23T00:00:00Z","MS-YTO21PrdStr06A","6548307.4427169608"
"2023-04-24T00:00:00Z","MS-YTO21PrdStr06A","6580710.7930960981"
"2023-04-25T00:00:00Z","MS-YTO21PrdStr06A","7145423.686128973"
"2023-04-26T00:00:00Z","MS-YTO21PrdStr06A","6688855.8098676335"
"2023-04-27T00:00:00Z","MS-YTO21PrdStr06A","6731231.2586915949"
"2023-04-28T00:00:00Z","MS-YTO21PrdStr06A","6656188.2599993218"
"2023-04-29T00:00:00Z","MS-YTO21PrdStr06A","6420827.4749274487"
"2023-04-30T00:00:00Z","MS-YTO21PrdStr06A","6407304.8362860261"
"2023-05-01T00:00:00Z","MS-YTO21PrdStr06A","6575362.5158904484"
"2023-05-02T00:00:00Z","MS-YTO21PrdStr06A","6662435.75672845"
"2023-05-03T00:00:00Z","MS-YTO21PrdStr06A","6621224.1145376563"
"2023-05-04T00:00:00Z","MS-YTO21PrdStr06A","5508051.2149958778"
"2023-05-05T00:00:00Z","MS-YTO21PrdStr06A","6548031.5588897988"
"2023-05-06T00:00:00Z","MS-YTO21PrdStr06A","6305289.4169821572"
"2023-05-07T00:00:00Z","MS-YTO21PrdStr06A","6326417.4986922368"
"2023-05-08T00:00:00Z","MS-YTO21PrdStr06A","6623407.6481493413"
"2023-05-09T00:00:00Z","MS-YTO21PrdStr06A","6611540.7984606111"
"2023-05-10T00:00:00Z","MS-YTO21PrdStr06A","7317649.1036244892"
"2023-05-11T00:00:00Z","MS-YTO21PrdStr06A","6699236.8195690447"
"2023-05-12T00:00:00Z","MS-YTO21PrdStr06A","6429280.8503899015"
"2023-05-13T00:00:00Z","MS-YTO21PrdStr06A","6271033.3615871631"
"2023-05-14T00:00:00Z","MS-YTO21PrdStr06A","6156052.5759480018"
"2023-05-15T00:00:00Z","MS-YTO21PrdStr06A","6354829.199632287"
"2023-05-16T00:00:00Z","MS-YTO21PrdStr06A","6557178.5262026275"
"2023-05-17T00:00:00Z","MS-YTO21PrdStr06A","6473207.1269223047"
"2023-05-18T00:00:00Z","MS-YTO21PrdStr06A","6350344.3736385824"
